-ilities|developmental, operational, and support requirements a program addresses (ISO/IEC/IEEE 24765l:2024)|
non-functional requirement (NFR)|requirement for a software-intensive system or for a software product, including how it should be developed and maintained, and how it should perform in operation, except any functional user requirement for the software|ISO/IEC/IEEE 32430:2025, Software engineering Software non-functional size measurement, 3.1.25
non-functional requirements for software|portion of the non-functional requirements (NFR) that are realized by the software (ISO/IEC/IEEE 32430:2025, Software engineering Software non-functional size measurement, 3.1.26)|
non-functional size|size of the software derived by quantifying the non-functional requirements (NFR), defined by a set of rules (ISO/IEC/IEEE 32430:2025, Software engineering Software non-functional size measurement, 3.1.24)|
non-primary entity|a data entity-type arrived at by Third Normal Form analysis which is not one of the main entity-types for which the application in question has been built (ISO/IEC 20968:2002 Software engineering -- Mk II Function Point Analysis -- Counting Practices Manual, 10)|
non-repudiation|capability of a product to prove that actions or events have taken place, so that the events or|
non-terminal symbol|part of the hierarchical definition of a syntax that is further decomposed in the hierarchy|ISO/IEC 15474-1:2002 Information technology -- CDIF framework -- Part 1: Overview, 4.2
non-time-critical computationally intensive task|low-priority compute-bound task that consumes spare CPU cycles|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
non-volatile memory|unit that stores data whether power is on or off|ISO/IEC/IEEE 24765c:2014
noncompensatory decision technique|a multi-attribute decision technique that weighs all attributes equally, without allowing lower performance in one attribute to be traded off against better performance in another attribute (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nonconformity|non-fulfillment of a requirement (ISO/IEC 19770-1:2017 Information technology -- IT asset management -- Part 1: IT asset management systems--Requirements, 3.36)|
nondelivered source statement|source statement that is developed in support of the final product, but not delivered to the customer (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nondestructive read|read operation that does not erase the data in the accessed location (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nondeveloped source statement|existing source statement that is reused or deleted (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nondevelopmental|developed prior to its current use in an acquisition or development process (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nondimensional scaling|decision technique in which attribute values are converted into a common scale where they can be added together to make a composite score for each alternative (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nonfunctional requirement|software requirement that describes not what the software will do but how the software will do it|IEEE 7000:2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, 3.1
nonfunctional requirement|specification of how a system shall be developed and maintained, or how it performs in operation (IEEE 7002:2022, IEEE Standard for Data Privacy Process, 3.1)|
nonidentifying relationship|a specific (not many-to-many) relationship in which some or all of the attributes contained in the primary key of the parent entity do not participate in the primary key of the child entity (ISO/IEC/IEEE 24765n:2025, 3.1.123)|
nonintrinsic relationship|relationship that is partial, is multi-valued, or changeable. (ISO/IEC/IEEE 24765n:2025, 3.1.125)|
nonkey attribute|attribute that is not the primary or a part of a composite primary key of an entity (ISO/IEC/IEEE 24765n:2025, 3.1.125)|
nonprocedural language|language in which the user states what is to be achieved without having to state specific instructions that the computer executes in a given sequence (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
nonprocedural programming language|computer programming language used to express the parameters of a problem rather than the steps in a solution (ISO/IEC/IEEE 24765:2017 Systems and software engineering-- Vocabulary)|
nonprogrammable terminal|user terminal that has no independent data processing capability (ISO/IEC/IEEE 24765n:2025)|
nontechnical requirement|requirement affecting product and service acquisition or development that is not a property of the product or service|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
NOR|notice of revision|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
norm|something that is usual, typical, or standard|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.1
normalization|process by which a data structure can be transformed by a database designer into a set of relations that have no repeating groups|ISO/IEC/IEEE 24765a:2011
not printable|not a <GeneralPrintableChar>, ", #, ], <EscapeCharacter> or <WhiteSpace>|ISO/IEC 15475- 3:2002 Information technology -- CDIF transfer format -- Part 3: Encoding ENCODING.1, 7.2.11
notation|means of concrete representation for a particular type of a model, expressed as a grammar and suitable glyphs for its terminal symbols|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 7.5
notation standard|standard that describes the characteristics of formal interfaces within a profession|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
note|helpful hint or other information that assists the user by emphasizing or supplementing important points of the main text|ISO/IEC/IEEE 24765g:2018
note|body of free text that describes some general comment or specific constraint about a portion of a model (ISO/IEC/IEEE 24765n:2025, 3.1.126)|
notebook computer|battery-powered portable computer small and light enough to be operated anywhere (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
notice of revision (NOR)|form used in configuration management to propose revisions to a drawing or list, and, after approval, to notify users that the drawing or list has been, or will be, revised accordingly (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
NRR|normal run response|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
NRT|normal run termination|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
NSBGM|non-state-based grievance mechanism|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.2
NSR|normal support response|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
NTF|non-terminal failure|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
nth of a kind|re-manufacturing or re-installation of a previously verified and validated hardware or software design (IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.1)|
nucleus|engineering object which coordinates processing, storage and communications functions for use by other engineering objects within the node to which it belongs (ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 8.1.6)|
number of data element types|sum of all data element types (DETs) that are part of the input/output/query of the elementary process(EP), plus the data elements which are read or maintained internally to the boundary (ISO/IEC/IEEE 32430:2025, Software engineering Software non-functional size measurement, 3.1.27)|
number of data element types (DETs)|sum of all data element types (DETs) which are part of the input/output/query of the elementary process(EP), plus the data elements which are read or updated internally to the boundary. (IEEE 2430-2019 Trial-Use Standard for Software Non-Functional Sizing Measurements, 3.1)|
numeric|pertaining to data that consists of numerals as well as functional units that use the data|ISO/IEC 2382:2015 Information technology -- Vocabulary
NVR|network video recorder|IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.2
O&S|operations and support (ISO/IEC/IEEE 24748-8:2019, Systems and software engineering Life cycle management Part 7: Application of systems engineering on defense programs, 3.2)|
OASIS|Organization for the Advancement of Structured Information Standards|ISO/IEC/IEEE 26511:2018 Systems and software engineering--Requirements for managers of information for users of systems, software, and services, 3.2
OAUTH|open authentication|ISO/IEC/IEEE 23026:2023 Systems and software engineering--Engineering and management of websites for systems, software, and services information, 3.2
object|encapsulation of data and services that manipulate that data|ISO/IEC/IEEE 24765l:2024
object|encapsulation of content units in a component content management system|ISO/IEC/IEEE 26531:2023 Systems and software engineering -- Content management for product lifecycle, user and service management information for users, 3.1.23
object|arc, node, reference node, or page of a net graph|ISO/IEC 15909-2:2011 Software and system engineering--High-level Petri nets--Part 2: Transfer format, 4.1.7
object|model of an entity (ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 8.1)|
object code|computer instructions and data definitions in a form output by an assembler or compiler (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
object identifier|some concrete representation for the identity of an object (instance) (ISO/IEC/IEEE 24765n:2025, 3.1.128)|
object implementation|definition that provides the information needed to create an object and to allow the object to participate in providing an appropriate set of services|ISO/IEC/IEEE 24765l:2024
Object Management Group (OMG)|international standards organization that owns and maintains CORBA(R) and UML(R) standards|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
object module|computer program or subprogram that is the output of an assembler or compiler (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
object of interest (-type)|anything that is identified from the point of view of the functional user requirements about which the software is required to process or store data (ISO/IEC 19761:2011 Software engineering -- COSMIC: a functional size measurement method, 2.19)|
object program|computer program that is the output of an assembler or compiler (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
object reference|value that unambiguously stores a reference for accessing an object|ISO/IEC/IEEE 24765l:2024
object set|subset of instantiations from the set of all possible instantiations of all object types within an object type set (ISO/IEC/IEEE 24765m:2024, 2.1.86)|
object type set|named set of one or more object types (ISO/IEC/IEEE 24765m:2024, 2.1.88)|
object-oriented design|software development technique in which a system or component is expressed in terms of objects and connections between those objects (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
object-oriented language|programming language that allows the user to express a program in terms of objects and messages between those objects|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
objective|something toward which work is to be directed, a strategic position to be attained, a purpose to be achieved, a result to be obtained, a product to be produced, or a service to be performed (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
objective|practical advantage or intended effect,|
objective evidence|data supporting the existence or verity of something (ISO/IEC 33001:2015 Information technology--Process assessment--Concepts and terminology, 3.2.13)|
objective function|formula that relates a decision variable to either the cost or the revenue of an alternative (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
obligation|prescription that a particular behavior is required|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 11.2.4
OBS|organizational breakdown structure (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
observation|instance of applying a measurement procedure to produce a value for a base measure|ISO/IEC/IEEE 15939:2017 Systems and software engineering--Measurement process, 3.28
observation period|time interval, where the measurement procedure is observed for collecting (logging) measurement results for rating or validation, consisting of the rating interval and the supplementary run|ISO/IEC 14756:1999 Information technology -- Measurement and rating of performance of computer-based software systems, 4.11
occupational title standard|standard that describes the characteristics of the general areas of work or profession|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
OCD|operational concept document (IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.2)|
OCL|Object Constraint Language (ISO/IEC 14769:2001 Information technology -- Open Distributed Processing -- Type Repository Function, 4)|ISO/IEC 19793:2015 Information technology -- Open Distributed Processing -- Use of UML for ODP system specifications, 4
octet|byte that consists of eight bits (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
ODP|Open Distributed Processing|ISO/IEC 19793:2015 Information technology -- Open Distributed Processing -- Use of UML for ODP system specifications, 4
ODP function|function required to support Open Distributed Processing (ISO/IEC 10746-3:2009 Information|
ODP IDL|Open Distributed Processing Interface Definition Language|ISO/IEC 14752:2000 Information technology -- Open Distributed Processing -- Protocol support for computational interactions, 4
ODP standard|standard that complies with the ODP Reference Model, directly or indirectly|ISO/IEC 10746- 2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 3.2.3
ODP system|system which conforms to the requirements of ODP standards|ISO/IEC 10746-2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 3.2.5
ODP-RM|Open Distributed Processing: Reference Model (ISO/IEC 14769:2001 Information technology -- Open Distributed Processing -- Type Repository Function, 4)|
OEM|original equipment manufacturer|ISO/IEC 19770-3:2016 Information technology--IT asset management--Part 3: Entitlement schema, 3.2
OF|operational failure|IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.2
off-the-shelf|product or system already developed and available (ISO/IEC/IEEE 41062:2024, Software engineering Life cycle processes Software acquisition, 3.1.12)|
office automation (OA)|integration of office activities by means of an information processing system (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
offline|pertaining to a device or process that is not under the direct control of the central processing unit of a computer|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
offline|pertaining to the operation of a functional unit that takes place either independently of, or in parallel with, the main operation of a computer (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
offset|difference between the loaded origin and the assembled origin of a computer program|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
offset|number that is added to a relative address to determine the address of the storage location to be accessed (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
OID|object identifier|ISO/IEC 13235-3:1998 Information technology -- Open Distributed Processing -- Trading Function -- Part 3: Provision of Trading Function using OSI Directory service, 4
OJT|on-the-job-training|ISO/IEC/IEEE 26511:2018 Systems and software engineering--Requirements for managers of information for users of systems, software, and services, 3.2
OLA|operations level agreement|IEEE 2675-2021, IEEE Standard for DevOps: Building Reliable and Secure Systems Including Application Build, Package, and Deployment, 3.2
OLGM|operational level grievance mechanism|IEEE 7005 2021, IEEE Standard for Transparent Employer Data Governance, 3.2
OMG|Object Management Group (ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview)|ISO/IEC 19793:2015 Information technology -- Open Distributed Processing -- Use of UML for ODP system specifications, 4
OMT|Object Modeling Technique (ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing --|
on-chip oscillator|electronic circuit on a microcomputer that produces a periodic electronic signal, often used for a device clock|ISO/IEC/IEEE 24765d:2015
on-demand scheduling|scheduling approach in which work is pulled from a backlog according to the perceived value to customers and is assigned as resources become available (Software Extension to the PMBOK(R) Guide Fifth Edition)|
on-screen documentation|information that is intended to be read on the screen by the user while using the software (ISO/IEC/IEEE 26512:2018 Systems and software engineering--Requirements for acquirers and suppliers of information for users, 3.15)|
one-address instruction|computer instruction that contains one address field (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
one-ahead addressing|method of implied addressing in which the operands for a computer instruction are understood to be in the storage locations following the locations of the operands used for the last instruction executed (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
one-plus-one address instruction|computer instruction that contains two address fields, the second containing the address of the instruction to be executed next (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
one-time programming (OTP)|method of recording data in ROM which can only be written once|ISO/IEC/IEEE 24765c:2014
one-to-many relationship|relationship between two state classes in which each instance of one class, referred to as the child class, is specifically constrained to relate to no more than one instance of a second class, referred to as the parent class|ISO/IEC/IEEE 24765n:2025, 3.1.131
online|pertaining to a system or mode of operation in which input data enter the computer directly from the point of origin or output data are transmitted directly to the point where they are used|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
online|pertaining to a device or process that is under the direct control of the central processing unit of a computer|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
online|pertaining to the operation of a functional unit when under the control of a computer (ISO/IEC 2382:2015 Information technology -- Vocabulary)|
online documentation|information accessed by the user through the use of software (ISO/IEC/IEEE 24765a:2011)|
online help|information about the software that is intended to be read on the screen by the user while using the software (ISO/IEC/IEEE 26513:2017 Systems and software engineering--Requirements for testers and reviewers of information for users, 3.28)|
onscreen information for users|information for users that is intended to be read on the screen by the user while using the software (ISO/IEC/IEEE 26514:2022, Systems and software engineering -- Design and development of information for users, 3.1.36)|
ontology|logical structure of the terms used to describe a domain of knowledge, including both the definitions of the applicable terms and their relationships|ISO/IEC/IEEE 24641:2023. Systems and Software engineering--Methods and tools for model-based systems and software engineering, 3.1.23
OOD|object-oriented design|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
OOSEM|object-oriented systems engineering method|ISO/IEC/IEEE 24641:2023. Systems and Software engineering--Methods and tools for model-based systems and software engineering, 3.2
OPA|organizational process asset (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
open distributed processing|distributed processing designed to conform to ODP standards (ISO/IEC 10746- 2:2009 Information technology -- Open Distributed Processing -- Reference Model: Foundations, 3.2.4)|
open subroutine|subroutine that is copied into a computer program at each place that it is called (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
operability|capability of a product to have functions and attributes that make it easy to operate and control (ISO/IEC 25010:2023, Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--Product quality model, 3.4.3)|
operability|degree to which an IT service has attributes that make it easy to operate and control (ISO/IEC TS 25011:2017 Information technology--Systems and software Quality Requirements and Evaluation (SQuaRE)--Service quality models, 3.2.2.3)|
operable|state of being able to perform the intended function|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operand|variable, constant, or function upon which an operation is to be performed|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operating environment (software)|set of software operating concurrently on a specified computer system (ISO/IEC 19761:2011 Software engineering -- COSMIC: a functional size measurement method, 2.20)|
operating mode|type of operation for a system|ISO/IEC/IEEE 24765d:2015
operating system|collection of software, firmware, and hardware elements that controls the execution of computer programs and provides such services as computer resource allocation, job control, input/output control, and file management in a computer system (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
operation|in computer mathematics, the action specified by an operator on one or more operands|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operation|in programming, a defined action that can be performed by a computer system|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operation|running a|
operation and maintenance costs|costs associated with using an asset as well as costs of keeping it in a usable condition|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operation and maintenance phase|period of time in the software life cycle during which a software product is employed in its operational environment, monitored for satisfactory performance, and modified as necessary to correct problems or to respond to changing requirements|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
operation code|character or set of characters that specifies a computer operation (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
operation exception|exception that occurs when a program encounters an invalid operation code (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
operation field|field of a computer instruction that specifies the operation to be performed (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
operation interface|interface in which all the interactions are operations|ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 7.1.7
operation interface signature|interface signature for an operation interface (ISO/IEC 10746-3:2009 Information technology -- Open Distributed Processing -- Reference Model: Architecture, 7.1.12)|
operational|pertaining to a system or component that is ready for use in its intended environment|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
operational|pertaining to a system or component that is installed in its intended environment|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
operational|pertaining to the environment in which a system or component is intended to be used|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
operational concept (OpsCon)|verbal and graphic statement of an organizations assumptions or intent in regard to an operation or series of operations of a specific system or a related set of specific new, existing or modified systems (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.39) (ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.23)|
operational constraint|capability of a product to constrain its operation to within safe parameters or states when encountering an operational hazard (ISO/IEC 25010:2023, Systems and software engineering--Systems and software Quality Requirements and Evaluation (SQuaRE)--Product quality model, 3.9.1)|
operational environment|physical context, setting, and circumstances used to support the in-service operation of a system (IEEE 982:2024, Standard for Measures of the Software Aspects of Dependability, 3.1)|
operational scenario|description of an imagined sequence of events that includes the interaction of the product or service with its environment and users, as well as interaction among its product or service components (ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes-Requirements engineering, 4.1.15)|
operational testing|testing conducted to evaluate a system or component in its operational environment (ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary)|
operations|ongoing execution of activities that produce the same product or provide a repetitive service|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operator|entity that performs the operation of a system|
operator|individual or organization that performs the operations of a system (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.40)|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.24
operator|entity that performs the operations of a system|ISO/IEC/IEEE 15939:2017 Systems and software engineering--Measurement process, 3.29
operator|mathematical or logical symbol that represents an action to be performed in an operation|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
operator|individual or organization that operates the system (ISO/IEC 25000:2014 Systems and software Engineering--Systems and software product Quality Requirements and Evaluation (SQuaRE) -- Guide to SQuaRE, 4.4)|
operator|symbol representing the name of a function|ISO/IEC 15909-1:2019 Systems and software engineering--High-level Petri nets--Part 1: Concepts, definitions and graphical notation, 3.21
operator|individual or organization that performs the operations of a product, service or system (IEEE 7000:2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, 3.1)|
operator manual|document that provides the information necessary to initiate and operate a system or component (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
OPM|object-process methodology (ISO/IEC/IEEE 24641:2023. Systems and Software engineering--Methods and tools for model-based systems and software engineering, 3.2)|
opportunity|risk that would have a positive effect on one or more project objectives (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
opportunity|condition or state with a potential to lead to a benefit or gain (IEEE 7000:2021, IEEE Standard Model Process for Addressing Ethical Concerns during System Design, 3.1)|
opportunity cost|implicit cost associated with investing money in a certain activity, so that it is no longer available for investing elsewhere (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
opportunity study|study to examine a problem and determine whether or not it requires being solved during the time period under consideration|ISO/IEC 2382:2015 Information technology -- Vocabulary
OpsCon|operational concept (ISO/IEC/IEEE 29148:2018 Systems and software engineering-Life cycle processes- Requirements engineering, 4.2)|
optical disc (OD)|disk which stores binary data in the form of pits which interrupt the reflection of light from a laser|ISO/IEC/IEEE 24765c:2014
optimistic duration|estimate of the shortest activity duration that takes into account the known variables that can affect performance|ISO/IEC/IEEE 24765h:2019
optimization analysis|balance of competing components to achieve the best performance under the situation (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
optimizing process|quantitatively managed process that is improved based on an understanding of the common causes of variation inherent in the process. (ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary)|
optional|syntax keyword used to specify a partial mapping (ISO/IEC/IEEE 24765n:2025, 3.1.133)|
optional attribute|attribute that can have no value for an instance|ISO/IEC/IEEE 24765n:2025, 3.1.134
optional nonidentifying relationship|nonidentifying relationship in which an instance of the child entity can exist without being related to an instance of the parent entity (ISO/IEC/IEEE 24765n:2025, 3.1.135)|
optional requirement|requirement of a normative document that is fulfilled in order to comply with a particular|
optional task|verification and validation (V&V) task that can be added to the minimum V&V tasks to address specific application requirements|IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.1
optional task|task that can be added to the minimum testing tasks to address specific requirements|ISO/IEC/IEEE 24765:2017 Systems and software engineering--Vocabulary
optional tasks|verification and validation tasks that can be added to the minimum required verification and validation tasks to address specific application requirements|IEEE 1012-2024 IEEE Standard for System, Software, and Hardware Verification and Validation, 3.1
order clash|in software design, a type of structure clash in which a program deal with two or more data sets that have been sorted in different orders (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
ordinal scale|scale in which the measurement values are rankings (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
organization|person or group of people that has its own functions with responsibilities, authorities, and relationships to achieve its objectives (ISO/IEC/IEEE 12207:2026 Systems and software engineering--Software life cycle processes, 3.1.41)|ISO/IEC/IEEE 15288:2023 Systems and software engineering--System life cycle processes, 3.25
organization|group of people and facilities with an arrangement of responsibilities, authorities and relationships|ISO/IEC 15940:2013 Systems and software engineering--Software Engineering Environment Services, 2.4
organization|person or a group of people and facilities with an arrangement of responsibilities, authorities, and relationships (INCOSE Systems Engineering Handbook, 5th ed.)|
organization chain|constellation of organizations that have business relationships with one another (ISO/IEC 16350-2015 Information technology--Systems and software engineering--Application management, 4.25)|
organization chart|graphical depiction of hierarchies and interrelationships among persons working together|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
organization level|management level or levels responsible for managing one or more data processing or information systems organizations|ISO/IEC/IEEE 24765a:2011
organizational breakdown structure (OBS)|hierarchical representation of the project organization, which illustrates the relationship between project activities and the organizational units that will perform those activities (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
organizational management profile|profile targeted at very small entities (VSE) to provide additional organizational management guidance (ISO/IEC 29110-1-2:2024, Systems and software engineering Lifecycle profiles for Very Small Entities (VSEs) Part 1-2: Vocabulary, 3.55)|
organizational maturity|extent to which an organization has explicitly and consistently deployed processes that are documented, managed, measured, controlled, and continually improved. (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
organizational objective|overarching objective that sets the context and direction for an organization's activities (ISO/IEC 19770-1:2017 Information technology -- IT asset management -- Part 1: IT asset management systems--Requirements, 3.39)|
organizational plan|documented information that specifies the programs to achieve the organizational objectives|ISO/IEC 19770-1:2017 Information technology -- IT asset management -- Part 1: IT asset management systems--Requirements, 3.40
organizational policy|guiding principle typically established by senior management that is adopted by an organization to influence and determine decisions|ISO/IEC/IEEE 24765:2017 Systems and software engineering- Vocabulary
organizational privacy framework|set of principles, policies, and processes that describe what an organization may or may not do with personal data|IEEE 7002:2022, IEEE Standard for Data Privacy Process, 3.1
organizational privacy requirements|statements that reference key privacy objectives and specify capabilities and functions that a system performs|IEEE 7002:2022, IEEE Standard for Data Privacy Process, 3.1
organizational process assets|plans, processes, policies, procedures and knowledge bases, specific to and used by the performing organization (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
organizational process assets|artifacts that relate to describing, implementing, and improving processes, such as policies, measurements, process descriptions, and process implementation support tools (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
organizational process maturity|extent to which an organizational unit consistently implements processes within a defined scope that contributes to the achievement of its business needs (current or projected) (ISO/IEC 33001:2015 Information technology--Process assessment--Concepts and terminology, 3.4.2)|
organizational risk|risks that inhibit the achievement of business values and product line objectives (ISO/IEC 26556:2018 Information technology--Software and systems engineering--Tools and methods for product line|
organizational test practice|documentation that expresses the recommended approaches or methods for the testing to be performed within an organization, providing detail on how the testing is to be performed (ISO/IEC/IEEE 29119-2:2021, Software and systems engineering--Software testing--Part 2: Test processes, 3.8)|
organizational test process|test process for developing and managing organizational test specifications|ISO/IEC/IEEE 29119-2:2021, Software and systems engineering--Software testing--Part 2: Test processes, 3.9
organizational test specification|document that provides information about testing for an organization, i.e. information that is not project-specific|ISO/IEC/IEEE 29119-2:2021, Software and systems engineering--Software testing- -Part 2: Test processes, 3.10
organizational unit|part of an organization that is the subject of measurement|ISO/IEC/IEEE 15939:2017 Systems and software engineering--Measurement process, 3.30
organizational unit|identified part of an organization that deploys one or more processes that operate within a coherent set of business goals and which forms the basis for the scope of an assessment (ISO/IEC 33001:2015 Information technology--Process assessment--Concepts and terminology, 3.2.14)|
origin|address of the initial storage location assigned to a computer program in main memory (ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary)|
origin attribute|classification of software as either developed or nondeveloped|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
original equipment manufacturer license|license for products or components that are created or manufactured by one company and licensed by another company (ISO/IEC 19770-3:2016 Information technology--IT asset management--Part 3: Entitlement schema, 3.1.17)|
original source statement|source statement that is obtained from an external product|ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary
orphan page|page on a website with no link from any other page on the website|ISO/IEC/IEEE 23026:2023 Systems and software engineering--Engineering and management of websites for systems, software, and services information, 3.1.18
OS|operating system|ISO/IEC TR 29119-13:2022, Software and systems engineering Software testing Part 13: Using the ISO/IEC/IEEE 29119 series in the testing of biometric systems, 3.2
OSE|Open System Environment|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
OSF|Open Software Foundation|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing -- Reference model: Overview
OSI|Open Systems Interconnection|ISO/IEC 10746-1:1998 Information technology -- Open Distributed Processing - - Reference model: Overview
osmotic communication|means of receiving information without direct communication by overhearing and through nonverbal cues (A Guide to the Project Management Body of Knowledge (PMBOK(R) Guide) -- Seventh Edition)|
